"Flight Phase";"Total_Incidentes";"Total_Fallecidos"
"LEVEL OFF TOUCHDOWN";17084;24
"ROLL-OUT (FIXED WING)";16224;2
"FCD/PREC LDG FROM CRUISE";9523;5
"NORMAL CRUISE";9244;115
"GROUND TAXI; OTHER AIRPLANE";7666;11
"CLIMB";3716;11
"TAKEOFF GROUND ROLL";2970;3
"FORCED/PRECAUTIONARY LANDING";2952;2
"TO INITIAL CLIMB (1ST POWER REDUCTION)";2826;11
"FINAL APPROACH";2725;2
"LANDING: TOUCHDOWN";2309;4
"DESCENT";2179;92
"TO ABORTED (FIXED WING)";1773;1
"OTHER GROUND OPERATIONS";1726;52
"TOUCH AND GO LANDING";1545;0
"CRUISE-LEVEL FLIGHT";1391;18
"LANDING: ROLLOUT";1337;0
"FINAL APPROACH- INSTRUMENT FLIGHT RULES";1160;1
"STARTING ENGINES";920;3
"TAXI";766;1
"LOW LEVEL OPERATIONS";656;1
"LANDING: APPROACH";654;12
"PARACHUTE JUMPING";647;373
"LANDING";642;0
"TAKEOFF: CLIMB OUT";589;0
"INITIAL APPROACH-INSTRUMENT FLIGHT RULES";572;0
"FORCED LANDING";471;0
"GO ROUND (ABORTED VISUAL FLIGHT RULES)";451;1
"GROUND-RAMP";366;5
"IN TRAFFIC PATTERN-CIRCLING";359;0
"TAKEOFF: DEPARTURE";343;0
"OPERATIONS ON GROUND FROM LANDING/ROTORCRAFT";334;1
"UNKNOWN";318;21
"DESCONOCIDO";242;6
"IDLING ENGINES";242;4
"POWER OFF RUN LAND (AUTOROTATION)";239;0
"OTHER-SPECIFY";228;35
"UNAUTHORIZED LOW LEVEL OPERATIONS";224;0
"PRACTICE TRAINING MENEUVERS";221;0
"HOVERING";215;0
"POWER ON VERTICAL LANDING/ROTORCRAFT";201;0
"TAKEOFF: ROTATION";169;0
"ENGINE RUN-UP";159;2
"POWER OFF VERTICAL LANDING/AUTOROTATE";147;0
"MANEUVER";131;2
"TAKEOFF";113;0
"SIMULATED FORCED LANDING/TAKEOFF";102;0
"TO VERTICAL (HELICOPTER ONLY)";96;0
"MISSED APPROACH INSTRUMENT FLIGHT RULES";95;0
"SIMULATED FORCED LANDING AUTOROTATION";76;0
"POWER ON RUN LANDING (ROTORCRAFT)";61;0
"SIMULATED FORCED LANDING FINAL APPROACH";61;0
"AERIAL TAXI; OTHER HELICOPTER";51;0
"HOVER-HOLDING";40;0
"IDLING ROTORS";40;0
"AUTOROT DESCENT (ROTORCRAFT)";38;0
"APPROACH";36;0
"AERIAL TAXI TO TAKEOFF/ROTORCRAFT";34;0
"TO RUNNING(HELICOPTER/VERTICAL TAKEOFF AND LANDING AIRCRAFT)";34;0
"RUN-UP AREA";28;0
"AERIAL TAXI FROM LANDING/ROTORCRAFT";27;0
"OPERATIONS ON GROUND TO TAKEOFF/ROTORCRAFT";27;0
"SIMULATED FORCED LANDING CRUISE";27;0
"HOLDING INSTRUMENT FLIGHT RULES";26;0
"POWER ON DESCENT (ROTORCRAFT)";20;0
"TO ABORTED (COPIER/RUN TAKE OFF)";16;0
"SIMULATED FORCED LANDING TRAFFIC PATTERN";14;0
"TAKEOFF-ABORT-COPTER VERTICAL";14;0
"SCUD RUNNING";12;0
"SETTLE WITH POWER (ROTORCRAFT)";12;0
"SIMULATED FORCED LANDING GO AROUND";10;0
"FORMATION FLYING";9;1
"SIMULATED FORCED LANDING/TAKEOFF CLIMB";9;0
"ROLL-OUT (ROTORCRAFT)";8;0
"SLOPE LANDING";7;0
"PINNACLE LANDING";1;0
