"Flight Conduct Code";"total_fallecidos";"Type";"total_incidentes"
"PARACHUTE JUMPING";585;"Top 7 por victimas mortales";NA
"GENERAL OPERATING RULES";170;"Top 7 por victimas mortales";NA
"AIR CARRIER/COMMERCIAL";33;"Top 7 por victimas mortales";NA
"ULTRALIGHT VEHICLES";14;"Top 7 por victimas mortales";NA
"AIR TAXI/COMMUTER";9;"Top 7 por victimas mortales";NA
"UNKNOWN";5;"Top 7 por victimas mortales";NA
"AGRICULTURAL";4;"Top 7 por victimas mortales";NA
"GENERAL OPERATING RULES";NA;"Top 7 por incidentes";69912
"AIR CARRIER/COMMERCIAL";NA;"Top 7 por incidentes";16012
"AIR TAXI/COMMUTER";NA;"Top 7 por incidentes";10094
"AGRICULTURAL";NA;"Top 7 por incidentes";1278
"PARACHUTE JUMPING";NA;"Top 7 por incidentes";972
"PILOT SCHOOLS";NA;"Top 7 por incidentes";922
"FOREIGN AIR CARRIER";NA;"Top 7 por incidentes";436
